Lever position,Ship speed,Gas Turbine (GT) shaft torque (GTT) ,GT rate of revolutions (GTn),Gas Generator rate of revolutions (GGn),Starboard Propeller Torque (Ts) ,Hight Pressure (HP) Turbine exit temperature (T48) ,GT Compressor outlet air temperature (T2) ,HP Turbine exit pressure (P48) ,GT Compressor outlet air pressure (P2),GT exhaust gas pressure (Pexh) ,Turbine Injecton Control (TIC) ,Fuel flow (mf),GT Compressor decay state coefficient,GT Turbine decay state coefficient
4.16,12,14700,1550,7760,114,652,610,1.66,8.99,1.02,17.7,0.35,0.965,0.978
5.14,15,21600,1920,8480,175,720,641,2.08,11.2,1.03,25.8,0.512,0.965,0.978
6.18,18,29800,2310,8820,246,789,672,2.51,13.3,1.03,35.1,0.696,0.965,0.978
7.15,21,39000,2680,9130,332,841,695,2.97,15.7,1.04,45.1,0.893,0.965,0.978
8.21,24,51000,3090,9310,438,939,736,3.58,18.6,1.04,61.6,1.22,0.965,0.978
9.3,27,72800,3560,9760,645,1100,783,4.51,22.8,1.05,91.1,1.8,0.965,0.978
1.14,3,7260,1360,6670,8.33,668,578,1.33,7.28,1.02,11.9,0.328,0.965,0.979
2.09,6,3520,1350,6790,22.8,538,564,1.22,6.62,1.02,20.8,0.18,0.965,0.979
3.14,9,8380,1390,7090,60.3,596,584,1.39,7.55,1.02,12.7,0.251,0.965,0.979
4.16,12,14700,1550,7770,114,651,610,1.66,8.99,1.02,17.7,0.35,0.965,0.979
5.14,15,21600,1920,8480,175,719,641,2.08,11.2,1.03,25.8,0.51,0.965,0.979
6.18,18,29800,2310,8820,246,788,672,2.51,13.3,1.03,35.1,0.695,0.965,0.979
7.15,21,39000,2680,9130,332,840,695,2.97,15.7,1.04,45,0.891,0.965,0.979
8.21,24,51000,3090,9310,438,938,736,3.58,18.6,1.04,61.5,1.22,0.965,0.979
9.3,27,72800,3560,9760,645,1090,783,4.51,22.8,1.05,91,1.8,0.965,0.979
1.14,3,6260,1330,6650,6.53,649,574,1.29,7.07,1.02,27.1,0.314,0.965,0.98
2.09,6,3440,1350,6790,22.9,534,563,1.22,6.6,1.02,20.1,0.176,0.965,0.98
3.14,9,8380,1390,7090,60.3,595,584,1.39,7.54,1.02,12.7,0.251,0.965,0.98
4.16,12,14700,1550,7770,114,650,610,1.66,8.98,1.02,17.6,0.349,0.965,0.98
5.14,15,21600,1920,8480,175,718,641,2.08,11.2,1.03,25.7,0.509,0.965,0.98
6.18,18,29800,2310,8820,246,787,672,2.51,13.3,1.03,35,0.693,0.965,0.98
7.15,21,39000,2680,9130,332,839,694,2.97,15.6,1.04,44.9,0.89,0.965,0.98
8.21,24,51000,3090,9310,438,937,736,3.58,18.6,1.04,61.4,1.22,0.965,0.98
9.3,27,72800,3560,9760,645,1090,783,4.51,22.8,1.05,90.8,1.8,0.965,0.98
1.14,3,3060,1310,6640,5.5,564,561,1.19,6.5,1.02,32.2,0.218,0.965,0.981
2.09,6,3460,1350,6790,22.9,534,563,1.22,6.6,1.02,19.9,0.176,0.965,0.981
3.14,9,8380,1390,7090,60.3,594,583,1.39,7.54,1.02,12.6,0.25,0.965,0.981
4.16,12,14700,1550,7770,114,649,610,1.66,8.97,1.02,17.6,0.348,0.965,0.981
5.14,15,21600,1920,8490,175,717,641,2.08,11.2,1.03,25.7,0.508,0.965,0.981
6.18,18,29800,2310,8820,246,786,671,2.51,13.3,1.03,34.9,0.692,0.965,0.981
7.15,21,39000,2680,9130,332,838,694,2.97,15.6,1.04,44.9,0.888,0.965,0.981
8.21,24,51000,3090,9310,438,936,736,3.58,18.6,1.04,61.3,1.21,0.965,0.981
9.3,27,72800,3560,9770,645,1090,783,4.51,22.7,1.05,90.7,1.8,0.965,0.981
1.14,3,992,1320,6640,6.02,494,551,1.12,6.08,1.02,23.4,0.132,0.965,0.982
2.09,6,3230,1350,6800,23.3,526,562,1.21,6.55,1.02,18.2,0.165,0.965,0.982
3.14,9,8380,1390,7100,60.3,593,583,1.39,7.53,1.02,12.6,0.249,0.965,0.982
4.16,12,14700,1550,7770,114,648,609,1.66,8.96,1.02,17.5,0.347,0.965,0.982
5.14,15,21600,1920,8490,175,717,641,2.08,11.1,1.03,25.6,0.507,0.965,0.982
6.18,18,29800,2310,8820,246,785,671,2.51,13.3,1.03,34.9,0.69,0.965,0.982
7.15,21,39000,2680,9130,332,837,694,2.97,15.6,1.04,44.8,0.886,0.965,0.982
8.21,24,51000,3090,9310,438,935,736,3.58,18.5,1.04,61.2,1.21,0.965,0.982
9.3,27,72800,3560,9770,645,1090,783,4.51,22.7,1.05,90.6,1.79,0.965,0.982
1.14,3,360,1340,6660,7.04,460,547,1.1,5.92,1.02,11.7,0.086,0.965,0.983
2.09,6,3150,1350,6800,23.5,522,562,1.21,6.53,1.02,17.7,0.161,0.965,0.983
3.14,9,8380,1390,7100,60.3,592,583,1.39,7.52,1.02,12.6,0.249,0.965,0.983
4.16,12,14700,1550,7770,114,647,609,1.66,8.95,1.02,17.5,0.346,0.965,0.983
5.14,15,21600,1920,8490,175,716,640,2.08,11.1,1.03,25.6,0.506,0.965,0.983
6.18,18,29800,2310,8820,246,783,671,2.51,13.3,1.03,34.8,0.689,0.965,0.983
7.15,21,39000,2680,9130,332,836,694,2.97,15.6,1.04,44.7,0.885,0.965,0.983
8.21,24,51000,3090,9310,438,934,736,3.58,18.5,1.04,61.1,1.21,0.965,0.983
9.3,27,72800,3560,9770,645,1090,782,4.51,22.7,1.05,90.5,1.79,0.965,0.983
1.14,3,911,1370,6680,8.95,468,550,1.12,6.05,1.02,0,0.087,0.965,0.984
2.09,6,3020,1350,6800,24,516,561,1.2,6.5,1.02,16,0.152,0.965,0.984
3.14,9,8380,1390,7100,60.3,592,583,1.39,7.52,1.02,12.5,0.248,0.965,0.984
4.16,12,14700,1550,7780,114,646,609,1.66,8.94,1.02,17.4,0.345,0.965,0.984
5.14,15,21600,1920,8490,175,715,640,2.08,11.1,1.03,25.5,0.505,0.965,0.984
6.18,18,29800,2310,8820,246,782,671,2.5,13.3,1.03,34.7,0.687,0.965,0.984
7.15,21,39000,2680,9130,332,835,694,2.97,15.6,1.04,44.6,0.883,0.965,0.984
8.21,24,51000,3090,9310,438,933,735,3.58,18.5,1.04,61,1.21,0.965,0.984
9.3,27,72800,3560,9770,645,1090,782,4.51,22.7,1.05,90.4,1.79,0.965,0.984
1.14,3,1350,1390,6700,9.8,481,553,1.14,6.15,1.02,0,0.101,0.965,0.985
2.09,6,2980,1360,6810,24.2,514,561,1.2,6.48,1.02,15,0.149,0.965,0.985
3.14,9,8380,1390,7100,60.3,591,583,1.39,7.51,1.02,12.5,0.247,0.965,0.985
4.16,12,14700,1550,7780,114,646,609,1.66,8.93,1.02,17.4,0.345,0.965,0.985
5.14,15,21600,1920,8490,175,714,640,2.08,11.1,1.03,25.4,0.504,0.965,0.985
6.18,18,29800,2310,8820,246,781,670,2.5,13.2,1.03,34.6,0.686,0.965,0.985
7.15,21,39000,2680,9130,332,834,693,2.97,15.6,1.04,44.5,0.882,0.965,0.985
8.21,24,51000,3090,9310,438,932,735,3.58,18.5,1.04,60.9,1.21,0.965,0.985
9.3,27,72800,3560,9770,645,1090,782,4.5,22.6,1.05,90.3,1.79,0.965,0.985
1.14,3,1960,1400,6710,10.7,498,556,1.17,6.29,1.02,0,0.121,0.965,0.986
2.09,6,2890,1360,6810,24.7,509,560,1.2,6.46,1.02,13.5,0.143,0.965,0.986
3.14,9,8380,1390,7110,60.3,590,583,1.39,7.5,1.02,12.5,0.247,0.965,0.986
4.16,12,14700,1550,7780,114,645,609,1.66,8.92,1.02,17.4,0.344,0.965,0.986
5.14,15,21600,1920,8490,175,713,640,2.08,11.1,1.03,25.4,0.503,0.965,0.986
6.18,18,29800,2310,8820,246,780,670,2.5,13.2,1.03,34.6,0.684,0.965,0.986
7.15,21,39000,2680,9130,332,833,693,2.97,15.5,1.04,44.4,0.88,0.965,0.986
8.21,24,51000,3090,9310,438,930,735,3.58,18.4,1.04,60.8,1.2,0.965,0.986
9.3,27,72800,3560,9770,645,1090,782,4.5,22.6,1.05,90.2,1.79,0.965,0.986
1.14,3,2530,1410,6720,11.2,515,559,1.19,6.4,1.02,0,0.14,0.965,0.987
2.09,6,2880,1360,6810,24.8,508,560,1.2,6.45,1.02,13.2,0.142,0.965,0.987
3.14,9,8380,1390,7110,60.4,589,582,1.39,7.49,1.02,12.4,0.246,0.965,0.987
4.16,12,14700,1550,7780,114,644,609,1.66,8.91,1.02,17.3,0.343,0.965,0.987
5.14,15,21600,1920,8490,175,712,640,2.08,11.1,1.03,25.3,0.502,0.965,0.987
6.18,18,29800,2310,8820,246,779,670,2.5,13.2,1.03,34.5,0.683,0.965,0.987
7.15,21,39000,2680,9130,332,832,693,2.97,15.5,1.04,44.4,0.878,0.965,0.987
8.21,24,51000,3090,9310,438,929,735,3.58,18.4,1.04,60.7,1.2,0.965,0.987
9.3,27,72800,3560,9770,645,1090,782,4.5,22.6,1.05,90.1,1.78,0.965,0.987
1.14,3,3490,1420,6720,11.5,543,563,1.23,6.6,1.02,0,0.174,0.965,0.988
2.09,6,2860,1360,6820,25.1,506,560,1.2,6.44,1.02,12,0.138,0.965,0.988
3.14,9,8380,1390,7110,60.4,588,582,1.39,7.49,1.02,12.4,0.245,0.965,0.988
4.16,12,14700,1550,7780,114,643,608,1.66,8.9,1.02,17.3,0.342,0.965,0.988
5.14,15,21600,1920,8490,175,711,639,2.08,11.1,1.03,25.3,0.5,0.965,0.988
6.18,18,29800,2310,8830,246,778,670,2.5,13.2,1.03,34.4,0.682,0.965,0.988
7.15,21,39000,2680,9130,332,831,693,2.97,15.5,1.04,44.3,0.877,0.965,0.988
8.21,24,51000,3090,9310,438,928,735,3.58,18.4,1.04,60.6,1.2,0.965,0.988
9.3,27,72800,3560,9770,645,1090,782,4.5,22.6,1.05,90,1.78,0.965,0.988
1.14,3,3580,1420,6730,11.5,545,564,1.23,6.61,1.02,0,0.176,0.965,0.989
2.09,6,2880,1360,6820,25.1,506,560,1.2,6.44,1.02,12.1,0.139,0.965,0.989
3.14,9,8380,1390,7110,60.3,588,582,1.39,7.48,1.02,12.4,0.245,0.965,0.989
4.16,12,14700,1550,7790,114,642,608,1.66,8.9,1.02,17.2,0.341,0.965,0.989
5.14,15,21600,1920,8490,175,710,639,2.08,11.1,1.03,25.2,0.499,0.965,0.989
6.18,18,29800,2310,8830,246,777,670,2.5,13.2,1.03,34.4,0.68,0.965,0.989
7.15,21,39000,2680,9130,332,830,693,2.97,15.5,1.04,44.2,0.875,0.965,0.989
8.21,24,51000,3090,9310,438,927,735,3.58,18.4,1.04,60.5,1.2,0.965,0.989
9.3,27,72800,3560,9770,645,1090,782,4.5,22.5,1.05,89.9,1.78,0.965,0.989
1.14,3,4950,1410,6730,11.1,585,569,1.27,6.85,1.02,0,0.223,0.965,0.99
2.09,6,2860,1360,6820,25.2,504,559,1.2,6.43,1.02,11.6,0.137,0.965,0.99
3.14,9,8380,1390,7120,60.4,587,582,1.39,7.47,1.02,12.3,0.244,0.965,0.99
4.16,12,14700,1550,7790,114,641,608,1.66,8.89,1.02,17.2,0.34,0.965,0.99
5.14,15,21600,1920,8490,175,709,639,2.08,11,1.03,25.2,0.498,0.965,0.99
6.18,18,29800,2310,8830,246,776,669,2.5,13.2,1.03,34.3,0.679,0.965,0.99
7.15,21,39000,2680,9130,332,829,693,2.97,15.5,1.04,44.1,0.874,0.965,0.99
8.21,24,51000,3090,9320,438,926,734,3.57,18.4,1.04,60.4,1.2,0.965,0.99
9.3,27,72800,3560,9770,645,1090,781,4.5,22.5,1.05,89.8,1.78,0.965,0.99
1.14,3,5960,1400,6720,10.5,612,573,1.3,7.01,1.02,0,0.257,0.965,0.991
2.09,6,2850,1370,6830,26.3,501,559,1.2,6.43,1.02,8.31,0.131,0.965,0.991
3.14,9,8380,1390,7120,60.4,586,582,1.39,7.46,1.02,12.3,0.243,0.965,0.991
4.16,12,14700,1550,7790,114,640,608,1.66,8.88,1.02,17.2,0.34,0.965,0.991
5.14,15,21600,1920,8490,175,708,639,2.08,11,1.03,25.1,0.497,0.965,0.991
6.18,18,29800,2310,8830,246,775,669,2.5,13.2,1.03,34.2,0.677,0.965,0.991
7.15,21,39000,2680,9130,332,828,692,2.96,15.5,1.04,44,0.872,0.965,0.991
8.21,24,51000,3090,9320,438,925,734,3.57,18.3,1.04,60.3,1.19,0.965,0.991
9.3,27,72800,3560,9770,645,1080,781,4.5,22.5,1.05,89.7,1.78,0.965,0.991
1.14,3,6430,1390,6720,10,625,574,1.32,7.08,1.02,0,0.273,0.965,0.992
2.09,6,2870,1370,6830,26.6,500,559,1.2,6.43,1.02,7.46,0.129,0.965,0.992
3.14,9,8380,1390,7120,60.4,585,582,1.39,7.46,1.02,12.3,0.243,0.965,0.992
4.16,12,14700,1550,7790,114,639,608,1.66,8.87,1.02,17.1,0.339,0.965,0.992
5.14,15,21600,1920,8500,175,707,639,2.08,11,1.03,25.1,0.496,0.965,0.992
6.18,18,29800,2310,8830,246,774,669,2.5,13.2,1.03,34.1,0.676,0.965,0.992
7.15,21,39000,2680,9130,332,827,692,2.96,15.4,1.04,44,0.87,0.965,0.992
8.21,24,51000,3090,9320,438,924,734,3.57,18.3,1.04,60.2,1.19,0.965,0.992
9.3,27,72800,3560,9770,645,1080,781,4.5,22.4,1.05,89.6,1.77,0.965,0.992
1.14,3,7280,1350,6700,7.87,656,576,1.33,7.17,1.02,14.8,0.323,0.965,0.993
2.09,6,2910,1370,6840,26.9,500,559,1.2,6.43,1.02,6.69,0.129,0.965,0.993
3.14,9,8380,1390,7120,60.4,584,582,1.39,7.45,1.02,12.2,0.242,0.965,0.993
4.16,12,14700,1550,7790,114,639,608,1.66,8.86,1.02,17.1,0.338,0.965,0.993
5.14,15,21600,1920,8500,175,706,639,2.08,11,1.03,25,0.495,0.965,0.993
6.18,18,29800,2310,8830,246,773,669,2.5,13.1,1.03,34.1,0.675,0.965,0.993
7.15,21,39000,2680,9130,332,826,692,2.96,15.4,1.04,43.9,0.869,0.965,0.993
8.21,24,51000,3090,9320,438,923,734,3.57,18.3,1.04,60.1,1.19,0.965,0.993
9.3,27,72800,3560,9780,645,1080,781,4.5,22.4,1.05,89.5,1.77,0.965,0.993
1.14,3,6990,1340,6690,7.16,651,575,1.32,7.11,1.02,21.2,0.32,0.965,0.994
2.09,6,2980,1370,6840,27.3,500,559,1.2,6.44,1.02,5.37,0.128,0.965,0.994
3.14,9,8380,1390,7130,60.4,584,581,1.39,7.44,1.02,12.2,0.241,0.965,0.994
4.16,12,14700,1550,7800,114,638,607,1.66,8.85,1.02,17,0.337,0.965,0.994
5.14,15,21600,1920,8500,175,705,638,2.08,11,1.03,25,0.494,0.965,0.994
6.18,18,29800,2310,8830,246,772,668,2.5,13.1,1.03,34,0.673,0.965,0.994
7.15,21,39000,2680,9130,332,825,692,2.96,15.4,1.04,43.8,0.867,0.965,0.994
8.21,24,51000,3090,9320,438,922,734,3.57,18.3,1.04,60,1.19,0.965,0.994
9.3,27,72800,3560,9780,645,1080,781,4.49,22.4,1.05,89.4,1.77,0.965,0.994
1.14,3,5580,1320,6680,5.97,619,569,1.27,6.85,1.02,29.8,0.287,0.965,0.995
2.09,6,2980,1370,6840,27.3,499,559,1.2,6.43,1.02,5.2,0.128,0.965,0.995
3.14,9,8380,1390,7130,60.4,583,581,1.39,7.44,1.02,12.2,0.241,0.965,0.995
4.16,12,14700,1550,7800,114,637,607,1.66,8.84,1.02,17,0.336,0.965,0.995
5.14,15,21600,1920,8500,175,704,638,2.08,11,1.03,24.9,0.493,0.965,0.995
6.18,18,29800,2310,8830,246,770,668,2.5,13.1,1.03,33.9,0.672,0.965,0.995
7.15,21,39000,2680,9140,332,824,692,2.96,15.4,1.04,43.7,0.866,0.965,0.995
8.21,24,51000,3090,9320,438,921,734,3.57,18.3,1.04,59.9,1.19,0.965,0.995
9.3,27,72800,3560,9780,645,1080,781,4.49,22.4,1.05,89.3,1.77,0.965,0.995
1.14,3,4410,1310,6680,5.53,589,564,1.23,6.64,1.02,32.1,0.253,0.965,0.996
2.09,6,3090,1380,6850,27.9,501,560,1.21,6.45,1.02,4.23,0.129,0.965,0.996
3.14,9,8380,1390,7130,60.4,582,581,1.39,7.43,1.02,12.1,0.24,0.965,0.996
4.16,12,14700,1550,7800,114,636,607,1.66,8.83,1.02,16.9,0.335,0.965,0.996
5.14,15,21600,1920,8500,175,703,638,2.08,11,1.03,24.8,0.492,0.965,0.996
6.18,18,29800,2310,8830,246,769,668,2.5,13.1,1.03,33.9,0.67,0.965,0.996
7.15,21,39000,2680,9140,332,823,692,2.96,15.4,1.04,43.6,0.864,0.965,0.996
8.21,24,51000,3090,9320,438,920,734,3.57,18.2,1.04,59.8,1.18,0.965,0.996
9.3,27,72800,3560,9780,645,1080,781,4.49,22.3,1.05,89.2,1.77,0.965,0.996
1.14,3,2600,1310,6680,5.37,538,557,1.18,6.32,1.02,30.8,0.193,0.965,0.997
2.09,6,3170,1380,6850,28.2,502,560,1.21,6.46,1.02,3.13,0.129,0.965,0.997
3.14,9,8380,1390,7130,60.4,581,581,1.39,7.42,1.02,12.1,0.239,0.965,0.997
4.16,12,14700,1550,7800,114,635,607,1.66,8.82,1.02,16.9,0.335,0.965,0.997
5.14,15,21600,1920,8500,175,702,638,2.08,11,1.03,24.8,0.491,0.965,0.997
6.18,18,29800,2310,8830,246,768,668,2.5,13.1,1.03,33.8,0.669,0.965,0.997
7.15,21,39000,2680,9140,332,822,691,2.96,15.4,1.04,43.6,0.863,0.965,0.997
8.21,24,51000,3090,9320,438,919,733,3.57,18.2,1.04,59.7,1.18,0.965,0.997
9.3,27,72800,3560,9780,645,1080,780,4.49,22.3,1.05,89.1,1.76,0.965,0.997
1.14,3,975,1320,6680,5.86,483,548,1.12,5.98,1.02,22.8,0.124,0.965,0.998
2.09,6,3310,1380,6860,28.7,504,561,1.22,6.48,1.02,1.79,0.132,0.965,0.998
3.14,9,8380,1390,7140,60.4,581,581,1.39,7.41,1.02,12.1,0.239,0.965,0.998
4.16,12,14700,1550,7800,114,634,607,1.66,8.82,1.02,16.9,0.334,0.965,0.998
5.14,15,21600,1920,8500,175,701,638,2.08,11,1.03,24.7,0.49,0.965,0.998
6.18,18,29800,2310,8840,246,767,668,2.5,13.1,1.03,33.7,0.668,0.965,0.998
7.15,21,39000,2680,9140,332,821,691,2.96,15.3,1.04,43.5,0.861,0.965,0.998
8.21,24,51000,3090,9320,438,918,733,3.57,18.2,1.04,59.6,1.18,0.965,0.998
9.3,27,72800,3560,9780,645,1080,780,4.49,22.3,1.05,89,1.76,0.965,0.998
1.14,3,408,1330,6690,6.64,455,545,1.1,5.85,1.02,14.1,0.086,0.965,0.999
2.09,6,3380,1380,6860,29,506,561,1.22,6.49,1.02,0.83,0.133,0.965,0.999
3.14,9,8380,1390,7140,60.4,580,581,1.39,7.41,1.02,12,0.238,0.965,0.999
4.16,12,14700,1550,7810,114,634,607,1.66,8.81,1.02,16.8,0.333,0.965,0.999
5.14,15,21600,1920,8500,175,700,638,2.08,10.9,1.03,24.7,0.488,0.965,0.999
6.18,18,29800,2310,8840,246,766,667,2.5,13.1,1.03,33.6,0.666,0.965,0.999
7.15,21,39000,2680,9140,332,820,691,2.96,15.3,1.04,43.4,0.86,0.965,0.999
8.21,24,51000,3090,9320,438,917,733,3.57,18.2,1.04,59.5,1.18,0.965,0.999
9.3,27,72800,3560,9780,645,1080,780,4.49,22.3,1.05,88.9,1.76,0.965,0.999
1.14,3,350,1340,6700,7.21,447,544,1.1,5.83,1.02,8.01,0.072,0.965,1
2.09,6,3330,1380,6860,28.8,504,560,1.22,6.47,1.02,1.2,0.131,0.965,1
3.14,9,8380,1390,7140,60.4,579,581,1.39,7.4,1.02,12,0.237,0.965,1
4.16,12,14700,1550,7810,114,633,607,1.66,8.8,1.02,16.8,0.332,0.965,1
5.14,15,21600,1920,8500,175,699,637,2.08,10.9,1.03,24.6,0.487,0.965,1
6.18,18,29800,2310,8840,246,765,667,2.5,13,1.03,33.6,0.665,0.965,1
7.15,21,39000,2680,9140,332,819,691,2.96,15.3,1.04,43.3,0.858,0.965,1
8.21,24,51000,3090,9320,438,916,733,3.57,18.2,1.04,59.4,1.18,0.965,1
9.3,27,72800,3560,9780,645,1080,780,4.49,22.2,1.05,88.8,1.76,0.965,1
1.14,3,823,1340,6640,6.89,485,551,1.12,6.07,1.02,16.7,0.115,0.966,0.975
2.09,6,4030,1340,6770,22.3,556,566,1.24,6.74,1.02,22.9,0.203,0.966,0.975
3.14,9,8380,1390,7080,60.3,599,584,1.39,7.58,1.02,12.8,0.254,0.966,0.975
4.16,12,14700,1550,7760,114,654,610,1.66,9.02,1.02,17.8,0.353,0.966,0.975
5.14,15,21600,1920,8480,175,723,642,2.08,11.2,1.03,26,0.514,0.966,0.975
6.18,18,29800,2310,8810,246,792,672,2.51,13.4,1.03,35.3,0.699,0.966,0.975
7.15,21,39000,2680,9120,332,844,695,2.97,15.7,1.04,45.3,0.897,0.966,0.975
8.21,24,51000,3090,9310,438,941,737,3.59,18.7,1.04,61.8,1.22,0.966,0.975
9.3,27,72800,3560,9760,645,1100,783,4.52,22.9,1.05,91.3,1.81,0.966,0.975
1.14,3,762,1360,6650,8.31,470,550,1.12,6.06,1.02,1.95,0.088,0.966,0.976
2.09,6,3910,1340,6780,22.4,552,566,1.23,6.71,1.02,22.5,0.198,0.966,0.976
3.14,9,8380,1390,7080,60.3,598,584,1.39,7.57,1.02,12.8,0.253,0.966,0.976
4.16,12,14700,1550,7760,114,653,610,1.66,9.01,1.02,17.8,0.352,0.966,0.976
5.14,15,21600,1920,8480,175,722,641,2.08,11.2,1.03,25.9,0.513,0.966,0.976
6.18,18,29800,2310,8810,246,791,672,2.51,13.4,1.03,35.3,0.698,0.966,0.976
7.15,21,39000,2680,9120,332,843,695,2.97,15.7,1.04,45.2,0.895,0.966,0.976
8.21,24,51000,3090,9310,438,940,736,3.59,18.7,1.04,61.7,1.22,0.966,0.976
9.3,27,72800,3560,9760,645,1100,783,4.52,22.9,1.05,91.2,1.81,0.966,0.976
1.14,3,1780,1400,6680,10.3,499,556,1.16,6.3,1.02,0,0.119,0.966,0.977
2.09,6,3710,1350,6780,22.5,545,565,1.23,6.67,1.02,21.8,0.189,0.966,0.977
3.14,9,8380,1390,7080,60.3,597,584,1.39,7.57,1.02,12.7,0.252,0.966,0.977
4.16,12,14700,1550,7760,114,652,610,1.66,9,1.02,17.7,0.351,0.966,0.977
5.14,15,21600,1920,8480,175,721,641,2.08,11.2,1.03,25.9,0.512,0.966,0.977
6.18,18,29800,2310,8810,246,790,672,2.51,13.4,1.03,35.2,0.697,0.966,0.977
7.15,21,39000,2680,9130,332,842,695,2.97,15.7,1.04,45.1,0.894,0.966,0.977
8.21,24,51000,3090,9310,438,939,736,3.59,18.6,1.04,61.6,1.22,0.966,0.977
9.3,27,72800,3560,9760,645,1100,783,4.52,22.9,1.05,91.1,1.8,0.966,0.977
1.14,3,3720,1420,6700,11.4,557,566,1.24,6.71,1.02,0,0.186,0.966,0.978
2.09,6,3510,1350,6780,22.8,537,564,1.22,6.63,1.02,20.7,0.18,0.966,0.978
3.14,9,8380,1390,7080,60.3,596,584,1.39,7.56,1.02,12.7,0.252,0.966,0.978
4.16,12,14700,1550,7760,114,651,610,1.66,9,1.02,17.7,0.35,0.966,0.978
5.14,15,21600,1920,8480,175,720,641,2.08,11.2,1.03,25.8,0.511,0.966,0.978
6.18,18,29800,2310,8810,246,788,672,2.51,13.3,1.03,35.1,0.695,0.966,0.978
7.15,21,39000,2680,9130,332,841,694,2.97,15.7,1.04,45.1,0.892,0.966,0.978
8.21,24,51000,3090,9310,438,938,736,3.59,18.6,1.04,61.5,1.22,0.966,0.978
9.3,27,72800,3560,9760,645,1090,783,4.51,22.8,1.05,91,1.8,0.966,0.978
1.14,3,6170,1400,6690,10.2,629,575,1.31,7.13,1.02,0.184,0.273,0.966,0.979
2.09,6,3540,1350,6780,22.8,538,564,1.22,6.62,1.02,20.6,0.18,0.966,0.979
3.14,9,8380,1390,7090,60.3,595,583,1.39,7.55,1.02,12.7,0.251,0.966,0.979
4.16,12,14700,1550,7760,114,650,610,1.66,8.99,1.02,17.6,0.349,0.966,0.979
5.14,15,21600,1920,8480,175,719,641,2.08,11.2,1.03,25.8,0.51,0.966,0.979
6.18,18,29800,2310,8820,246,787,672,2.51,13.3,1.03,35,0.694,0.966,0.979
7.15,21,39000,2680,9130,332,840,694,2.97,15.7,1.04,45,0.891,0.966,0.979
8.21,24,51000,3090,9310,438,937,736,3.58,18.6,1.04,61.4,1.22,0.966,0.979
9.3,27,72800,3560,9760,645,1090,783,4.51,22.8,1.05,90.9,1.8,0.966,0.979
1.14,3,7020,1350,6660,7.45,664,577,1.32,7.21,1.02,19.7,0.329,0.966,0.98
2.09,6,3280,1350,6790,23.2,528,562,1.21,6.57,1.02,19.1,0.168,0.966,0.98
3.14,9,8380,1390,7090,60.3,594,583,1.39,7.55,1.02,12.6,0.25,0.966,0.98
4.16,12,14700,1550,7770,114,650,609,1.66,8.98,1.02,17.6,0.348,0.966,0.98
5.14,15,21600,1920,8480,175,718,641,2.08,11.2,1.03,25.7,0.509,0.966,0.98
6.18,18,29800,2310,8820,246,786,671,2.51,13.3,1.03,35,0.693,0.966,0.98
7.15,21,39000,2680,9130,332,839,694,2.97,15.6,1.04,44.9,0.889,0.966,0.98
8.21,24,51000,3090,9310,438,936,736,3.58,18.6,1.04,61.3,1.21,0.966,0.98
9.3,27,72800,3560,9760,645,1090,782,4.51,22.8,1.05,90.8,1.8,0.966,0.98
1.14,3,4950,1320,6640,5.83,616,569,1.25,6.84,1.02,32,0.278,0.966,0.981
2.09,6,3180,1350,6790,23.4,524,562,1.21,6.55,1.02,18,0.163,0.966,0.981
3.14,9,8380,1390,7090,60.3,594,583,1.39,7.54,1.02,12.6,0.25,0.966,0.981
4.16,12,14700,1550,7770,114,649,609,1.66,8.97,1.02,17.6,0.348,0.966,0.981
5.14,15,21600,1920,8480,175,717,641,2.08,11.2,1.03,25.6,0.508,0.966,0.981
6.18,18,29800,2310,8820,246,785,671,2.51,13.3,1.03,34.9,0.691,0.966,0.981
7.15,21,39000,2680,9130,332,838,694,2.97,15.6,1.04,44.8,0.887,0.966,0.981
8.21,24,51000,3090,9310,438,935,736,3.58,18.6,1.04,61.2,1.21,0.966,0.981
9.3,27,72800,3560,9760,645,1090,782,4.51,22.8,1.05,90.7,1.8,0.966,0.981
1.14,3,2670,1310,6640,5.5,551,559,1.18,6.42,1.02,31.3,0.204,0.966,0.982
2.09,6,3140,1350,6790,23.6,522,562,1.21,6.53,1.02,17.3,0.16,0.966,0.982
3.14,9,8380,1390,7090,60.3,593,583,1.39,7.53,1.02,12.6,0.249,0.966,0.982
4.16,12,14700,1550,7770,114,648,609,1.66,8.96,1.02,17.5,0.347,0.966,0.982
5.14,15,21600,1920,8490,175,716,640,2.08,11.1,1.03,25.6,0.507,0.966,0.982
6.18,18,29800,2310,8820,246,784,671,2.51,13.3,1.03,34.8,0.69,0.966,0.982
7.15,21,39000,2680,9130,332,837,694,2.97,15.6,1.04,44.7,0.886,0.966,0.982
8.21,24,51000,3090,9310,438,934,735,3.58,18.5,1.04,61.1,1.21,0.966,0.982
9.3,27,72800,3560,9770,645,1090,782,4.51,22.7,1.05,90.6,1.79,0.966,0.982
1.14,3,998,1320,6650,6.04,493,551,1.12,6.07,1.02,23.1,0.131,0.966,0.983
2.09,6,3030,1350,6800,24,517,561,1.2,6.5,1.02,16,0.153,0.966,0.983
3.14,9,8380,1390,7100,60.3,592,583,1.39,7.52,1.02,12.5,0.248,0.966,0.983
